CaseId,Title,SystemName,SystemSynonyms,Description,PrimaryDomain,Domains,PrimaryActors,SecondaryActors,AllActors,PrimaryActorCount,SecondaryActorCount,TotalActorCount,UseCases,UseCaseCount,RelationshipTypes,RelationshipCount,HasInclude,HasExtend,HasGeneralization,ActorSynonyms,UseCaseSynonyms,CreatedAt
25,Coffin Escape System,Coffin Escape System,Escape System | Coffin System,"The Coffin Escape System facilitates a stunt performance where an Escape Artist attempts to escape from a coffin. The system involves a Coffin Maker who ensures the coffin's quality, a Safety Officer and the Escape Artist who collaborate to minimize risks, and an Audience whose excitement is a key consideration. Computer control can be optionally enabled to assist with fluid pumping during the stunt. The system relies on pumping fluids and ensuring sufficient air within the coffin for the stunt to be performed.",Audience Engagement,Audience Engagement | Coffin Manufacturing | Risk Management | Safety Systems | Stunt Performance,Audience | Coffin Maker | Escape Artist | Safety Officer,,Audience | Coffin Maker | Escape Artist | Safety Officer,4,0,4,Allow Stunt Fluid | Enable Computer Control System | Ensure Coffin Quality | Ensure Sufficient Air | Maximize Excitement | Minimize Risk | Perform Stunt | Pump Fluid,8,association | extend | include,10,Yes,Yes,No,"Audience: Spectator, Viewer | Coffin Maker: Maker, Craftsman | Escape Artist: Performer, Artist | Safety Officer: Officer, Supervisor","Allow Stunt Fluid: Release Fluid | Enable Computer Control System: Activate Control, Control System | Ensure Coffin Quality: Confirm Quality, Verify Quality | Ensure Sufficient Air: Secure Air, Provide Air | Maximize Excitement: Boost Excitement | Minimize Risk: Reduce Risk | Perform Stunt: Execute Stunt | Pump Fluid: Transfer Fluid",2026-02-26 18:36:36
26,Healthcare,Healthcare,Health System | Care System,"The Healthcare system manages patient care processes, from initial complaint recording and admission through assessment, treatment, progress reporting, and eventual discharge. Administrative Clerks record initial complaints, while Guardians and Patients participate in the admission process. Nurses and Doctors assess patient status and advise medical treatment. The system also handles legal authorization and discharge procedures, involving review of summaries and recommendations.",Healthcare Administration,Healthcare Administration | Legal and Regulatory Compliance | Medical Treatment and Assessment | Patient Admission and Discharge | Patient Record Management,Administrative Clerk | Doctor | Guardian | Nurse | Patient,,Administrative Clerk | Doctor | Guardian | Nurse | Patient,5,0,5,Admit Patient | Advise Medical Treatment | Assess Patient Status | Maintain Progress Report | Obtain Legal Authorization | Recommend Patient Discharge | Record Initial Complaint | Review Discharge Summary,8,association | include,10,Yes,No,No,"Administrative Clerk: Clerk, Admin Staff | Doctor: Physician, Clinician, Physician, Clinician | Guardian: Protector, Caregiver | Nurse: Practitioner, Care Nurse, Caregiver | Patient: Individual, Subject, Recipient, Individual, Individual, Client","Admit Patient: Accept Patient, Register Recipient | Advise Medical Treatment: Suggest Treatment, Provide Advice | Assess Patient Status: Evaluate Patient, Check Status | Maintain Progress Report: Track Progress, Update Report | Obtain Legal Authorization: Secure Approval, Gain Consent | Recommend Patient Discharge: Propose Release, Suggest Discharge | Record Initial Complaint: Note Issue, Log Complaint | Review Discharge Summary: Inspect Report, Examine Summary",2026-02-26 18:37:02
27,POS,POS,Point Of Sale | POS System,"The POS system facilitates retail transactions, user management, and activity analysis. Cashiers collect cash and process sales with customer interaction. Managers oversee cash collection and sales processes. System Administrators manage user accounts and security. The system integrates with external actors like the Accounting System and Tax Calculator for financial processing, and the Sales Activity System for data analysis. Returns are handled as an extension of the sales process under specific conditions.",Financial Transactions,Financial Transactions | Point of Sale Systems | Retail Management | Sales Analytics | User Account Management,Cashier | Customer | Manager | System Administrator,Accounting System | Sales Activity System | Tax Calculator,Accounting System | Cashier | Customer | Manager | Sales Activity System | System Administrator | Tax Calculator,4,3,7,Analyze Activity | Collect Cash | Handle Return | Manage Security | Manage User | Process Sale,6,association | extend | include,11,Yes,Yes,No,"Accounting System: Finance System, Finance System, Ledger System | Cashier: Clerk, Payment Processor, Teller | Customer: Patron, Passenger, Client, User, Passenger, Traveler, Car Owner, Passenger, Vehicle Owner, Bank Client, Account Holder, User, Client, Shopper | Manager: Supervisor | Sales Activity System: Sales System | System Administrator: System Admin, Admin, Admin, System Manager | Tax Calculator: Tax Engine","Analyze Activity: Assess Activity, Review Activity | Collect Cash: Receive Payment, Accept Cash | Handle Return: Accept Return, Process Return | Manage Security: Secure System, Control Access | Manage User: User Control, Control User, Update User, Maintain User | Process Sale: Complete Sale, Record Sale",2026-02-26 18:37:22
28,Train Ticket Reservation,Train Ticket Reservation,Train Reservation | Ticket System,"The Train Ticket Reservation system enables customers to reserve train tickets through a Ticket Booking App. Customers can access their accounts, choose origins and destinations, select trains, view seat availability, make payments, and receive tickets. The Ticket Booking App facilitates the process by providing access to train schedules, handling payments, and issuing tickets.",Online Payment Processing,Online Payment Processing | Ticket Issuance | Train Schedule Management | Train Travel Booking | User Account Management,Customer,Ticket Booking App,Customer | Ticket Booking App,1,1,2,Access User Account | Choose Destination | Choose Origin | Choose Train | Issue Ticket | Make Payment | Receive Payment | Show Alternative Train | Show Available Seat | Show Available Train,10,association | extend | include,11,Yes,Yes,No,"Customer: Patron, Passenger, Client, User, Passenger, Traveler, Car Owner, Passenger, Vehicle Owner, Bank Client, Account Holder, User, Client, Shopper | Ticket Booking App: Booking Application, App","Access User Account: View Account, Open Account | Choose Destination: Select Destination | Choose Origin: Select Origin | Choose Train: Select Train | Issue Ticket: Create Ticket, Generate Ticket | Make Payment: Submit Payment, Submit Payment, Process Payment, Submit Payment, Process Payment | Receive Payment: Process Payment, Accept Payment, Collect Payment, Accept Payment, Accept Payment | Show Alternative Train: Display Alternative | Show Available Seat: Display Seat | Show Available Train: Display Train",2026-02-26 18:37:47
29,Parking System,Parking System,Park System | Parking Facility,"The Parking System manages parking fees and provides receipts. The Parking Manager adjusts parking rates, while Drivers pay parking bills. The system supports hourly and daily rate adjustments, which are generalizations of a broader 'Adjust Rate' function. The Parking Manager can also print receipts.",Parking Management,Parking Management | Payment Processing | Rate Management | Receipt Generation | User Authentication,Driver | Parking Manager,,Driver | Parking Manager,2,0,2,Adjust Daily Rate | Adjust Hourly Rate | Adjust Rate | Pay Parking Bill | Print Reciept,5,association | generalization,5,No,No,Yes,"Driver: Operator, Vehicle Operator, Operator | Parking Manager: Park Admin, Manager","Adjust Daily Rate: Modify Rate, Set Daily Rate | Adjust Hourly Rate: Modify Rate, Set Hourly Rate | Adjust Rate: Modify Rate, Set Rate | Pay Parking Bill: Submit Payment, Settle Bill | Print Reciept: Issue Receipt, Generate Receipt",2026-02-26 18:38:08
30,Surveillance System ,Surveillance System ,Watch System | Surveillance,"The Surveillance System monitors a safe zone for sheep and bears, utilizing input from a Mission Operator, Ground Station, GPS Constellation, and Weather data. The system allows for mission planning and preparation, surveying of the safe zone, and protection of sheep. The Ground Station and GPS Constellation provide data for system monitoring. Bears attempt to enter the safe zone, while sheep require protection. Mission preparation includes parameterization and planning phases.",Environmental Monitoring,Environmental Monitoring | Geospatial Data Processing | Mission Planning | Security Systems | Wildlife Monitoring,Bear | Mission Operator | Sheep,GPS Constellation | Ground Station | Weather,Bear | GPS Constellation | Ground Station | Mission Operator | Sheep | Weather,3,3,6,Enter Safe Zone | Monitor System | Parameterize Mission | Plan Mission | Prepare Mission | Protect Sheep | Survey Safe Zone,7,association | extend | include,12,Yes,Yes,No,"Bear: Predator | GPS Constellation: GPS | Ground Station: Control Station, Station | Mission Operator: Mission Control, Operator | Sheep: Livestock | Weather: Atmosphere","Enter Safe Zone: Access Zone | Monitor System: Check System | Parameterize Mission: Define Mission | Plan Mission: Mission Planning, Create Plan | Prepare Mission: Ready Mission | Protect Sheep: Guard Livestock | Survey Safe Zone: Scan Zone",2026-02-26 18:38:29
31,Coursework Management,Coursework Management,Course System | Course Management,"The Coursework Management system facilitates the administration, delivery, submission, and assessment of coursework. Administrators configure courses, Lecturers retrieve coursework for grading, and Students submit coursework and retrieve their marks. Submitters publish marks, potentially triggered by a student's request to retrieve their mark.",Academic Record Keeping,Academic Record Keeping | Course Management | Educational Administration | Learning Management Systems | Student Assessment,Administrator | Lecturer | Student | Submitter,,Administrator | Lecturer | Student | Submitter,4,0,4,Publlish Mark | Retrieve Coursework | Retrieve Mark | Set Up Course Configuration | Submit Coursework,5,association | extend,6,No,Yes,No,"Administrator: System Manager, System Admin, System Admin, School Admin, Admin, Admin, Admin, System Admin, Admin, System Manager | Lecturer: Course Tutor, Instructor | Student: Learner, Learner, Learner, Enrollee, Candidate, Learner, Course Participant, Pupil | Submitter: Contributor","Publlish Mark: Publish Mark, Release Mark | Retrieve Coursework: Get Coursework | Retrieve Mark: Get Mark | Set Up Course Configuration: Configure Course, Setup Course | Submit Coursework: Send Coursework",2026-02-26 18:38:45
32,Renewable Energy Monitoring System,Renewable Energy Monitoring System,Energy Monitor | Renewable System | Energy System,"The Renewable Energy Monitoring System facilitates the monitoring and analysis of energy production from turbines. System Administrators perform equipment checks, Control Engineers analyze energy data, and Field Control Engineers monitor turbines and register new sensors. The system generates energy reports based on turbine monitoring data, and sensor registration is integral to turbine monitoring.",Energy Data Analytics,Energy Data Analytics | Renewable Energy Management | Sensor Management | System Administration | Turbine Monitoring,Control Engineer | Field Control Engineer | System Administrator,,Control Engineer | Field Control Engineer | System Administrator,3,0,3,Analyze Energy Data | Generate Energy Report | Monitor Turbine | Perform Equipment Check | Register New Sensor,5,association | extend | include,6,Yes,Yes,No,"Control Engineer: Controller, System Control | Field Control Engineer: Remote Control, Field Controller | System Administrator: System Admin, Admin, Admin, System Manager","Analyze Energy Data: Process Data, Review Data | Generate Energy Report: Create Report, Produce Report, Create Report, Produce Report | Monitor Turbine: Track Turbine, Observe Turbine | Perform Equipment Check: Inspect Equipment, Check Equipment | Register New Sensor: Define Sensor, Add Sensor",2026-02-26 18:39:02
33,Game,Game,Game Platform | Gaming System,"The Game system manages a leaderboard and game settings. Game Administrators can edit, update, and modify settings, while Players can view, play the game, and modify settings. Viewing the leaderboard includes fetching the leaderboard data. Playing the game automatically updates the leaderboard.",Game Management,Game Management | Game Settings Configuration | Leaderboard Administration | Player Engagement | User Account Management,Game Administrator | Player,,Game Administrator | Player,2,0,2,Edit Leaderboard | Fetch Leaderboard | Modify Setting | Play Game | Update Leaderboard | View Leaderboard,6,association | include,8,Yes,No,No,"Game Administrator: Game Manager, Admin | Player: Participant, Gamer","Edit Leaderboard: Adjust Leaderboard, Change Leaderboard | Fetch Leaderboard: Get Leaderboard, Retrieve Leaderboard | Modify Setting: Change Setting, Adjust Setting | Play Game: Run Game, Start Game | Update Leaderboard: Revise Leaderboard, Refresh Leaderboard | View Leaderboard: Inspect Leaderboard, See Leaderboard",2026-02-26 18:39:20
34,Trading System,Trading System,Trade System | Trading Platform,"The Trading System facilitates deal capture, price display, risk analysis, account updates, and limit setting. Traders interact with the system to capture deals, view prices, and analyze risks. The Trading Manager sets limits within the system. The Accounting System interacts with the system to update accounts.",Account Management,Account Management | Financial Regulations | Financial Trading | Risk Management | Trade Execution,Trader | Trading Manager,Accounting System,Accounting System | Trader | Trading Manager,2,1,3,Analyze Risk | Capture Deal | Display Price | Set Limit | Update Account,5,association,5,No,No,No,"Accounting System: Finance System, Finance System, Ledger System | Trader: Trade Operator, Market Participant | Trading Manager: Trade Supervisor, Market Manager","Analyze Risk: Evaluate Risk, Assess Risk | Capture Deal: Log Deal, Record Trade | Display Price: Present Price, Show Price | Set Limit: Define Limit, Establish Limit | Update Account: Modify Account, Revise Account, Modify Account, Adjust Account",2026-02-26 18:39:38
35,Bank,Bank,Financial Institution | Banking System,"The Bank system facilitates financial transactions and account management for Customers, supported by Bank Employees. Customers can Deposit Funds, Withdraw Funds, and Open Accounts. Bank Employees Proivde Service to customers. Both Deposit and Withdraw operations include an Update Balance function to maintain accurate account records.",Account Management,Account Management | Banking Operations | Customer Service | Financial Transactions | Funds Management,Bank Employee | Customer,,Bank Employee | Customer,2,0,2,Deposit Fund | Open Account | Proivde Service | Update Balance | Withdraw Fund,5,association | include,6,Yes,No,No,"Bank Employee: Bank Staff, Teller | Customer: Patron, Passenger, Client, User, Passenger, Traveler, Car Owner, Passenger, Vehicle Owner, Bank Client, Account Holder, User, Client, Shopper","Deposit Fund: Receive Fund, Add Fund | Open Account: Create Account, Establish Account | Proivde Service: Offer Service, Deliver Service | Update Balance: Modify Balance, Adjust Balance | Withdraw Fund: Remove Fund, Dispense Fund",2026-02-26 18:39:57
36,Automobile Service Management System,Automobile Service Management System,Auto Management | Service System | Vehicle System,"The Automobile Service Management System facilitates interactions between Car Owners, Service Representatives, Technicians, and Service Engineers to manage vehicle service appointments, repairs, and related information. Service Representatives handle contact information and appointment booking. Technicians perform vehicle repairs, while Service Engineers inspect vehicles. The system supports spare part registration and generates service reports, potentially extending appointment booking when service is required, and includes spare part registration within the appointment process.",Appointment Scheduling,Appointment Scheduling | Automotive Service Management | Customer Relationship Management | Spare Parts Inventory | Vehicle Maintenance,Car Owner | Service Engineer | Service Representative | Technician,,Car Owner | Service Engineer | Service Representative | Technician,4,0,4,Book Appointment | Book Service Appointment | Generate Service Report | Inspect Vehicle | Register Contact Information | Register Spare Part | Repair Vehicle,7,association | extend | include,8,Yes,Yes,No,"Car Owner: Vehicle Owner, Customer | Service Engineer: Service Specialist, Engineer | Service Representative: Rep, Service Agent | Technician: Service Personnel, System Expert, Mechanic, Field Engineer, Service Personnel, Service Tech","Book Appointment: Schedule Visit, Arrange Booking | Book Service Appointment: Schedule Service, Arrange Service | Generate Service Report: Create Report, Produce Report | Inspect Vehicle: Check Vehicle, Examine Vehicle | Register Contact Information: Record Contact, Capture Contact | Register Spare Part: Add Part, Record Part | Repair Vehicle: Fix Vehicle, Restore Vehicle",2026-02-26 18:40:16
37,Clinic Management,Clinic Management,Healthcare System | Clinic System | Medical Center,"The Clinic Management system facilitates interactions between Doctors, Nurses, and Patients to manage patient information, appointments, and medical records. Doctors can view patient histories and give prescriptions. Nurses can print reports. Patients can schedule appointments and enter their own information. The system also records visit information, which is included as part of the appointment scheduling process.",Clinical Reporting,Clinical Reporting | Healthcare Information Management | Medical Records Management | Patient Scheduling | Prescription Management,Doctor | Nurse | Patient,,Doctor | Nurse | Patient,3,0,3,Enter Patient Information | Give Prescription | Print Report | Record Visit Information | Schedule Appointment | View Patient History,6,association | include,6,Yes,No,No,"Doctor: Physician, Clinician, Physician, Clinician | Nurse: Practitioner, Care Nurse, Caregiver | Patient: Individual, Subject, Recipient, Individual, Individual, Client","Enter Patient Information: Input Data, Record Detail | Give Prescription: Issue Prescription, Provide Medication | Print Report: Output Report, Generate Report | Record Visit Information: Document Visit, Log Visit | Schedule Appointment: Book Appointment, Book Appointment, Arrange Visit, Arrange Visit | View Patient History: Inspect Record, Review History",2026-02-26 18:40:39
38,Car Maintenance,Car Maintenance,Vehicle Maintenance | Auto Care,"The Car Maintenance system facilitates the process of vehicle repair and upkeep. Customers initiate requests for maintenance, potentially filing insurance claims and making payments. Mechanics perform the maintenance work, sometimes requiring parts to be ordered and shipped. The Service Center manages activities, delivers cars, receives payments, and handles part logistics. The system also includes invoice generation and activity monitoring.",Automotive Maintenance,Automotive Maintenance | Insurance Claim Management | Parts Ordering and Logistics | Payment Processing | Vehicle Repair Services,Customer | Mechanic,Service Center,Customer | Mechanic | Service Center,2,1,3,Claim Insurance | Deliver Car | Make Payment | Monitor Activity | Order Part | Perform Maintenance | Raise Request | Receive Payment | Send Invoice | Ship Part,10,association | extend | include,11,Yes,Yes,No,"Customer: Patron, Passenger, Client, User, Passenger, Traveler, Car Owner, Passenger, Vehicle Owner, Bank Client, Account Holder, User, Client, Shopper | Mechanic: Auto Technician, Service Technician | Service Center: Auto Shop, Repair Facility","Claim Insurance: File Claim | Deliver Car: Return Vehicle | Make Payment: Submit Payment, Submit Payment, Process Payment, Submit Payment, Process Payment | Monitor Activity: Track Activity | Order Part: Procure Part, Request Part, Request Part, Procure Part | Perform Maintenance: Conduct Maintenance, Execute Maintenance, Conduct Service, Execute Maintenance, Conduct Maintenance | Raise Request: Create Request, Submit Request | Receive Payment: Process Payment, Accept Payment, Collect Payment, Accept Payment, Accept Payment | Send Invoice: Issue Invoice, Deliver Invoice | Ship Part: Dispatch Part",2026-02-26 18:40:59
39,Lab  Testing System,Lab  Testing System,Testing System | Lab System,"The Lab Testing System facilitates the process of patient assessment, test prescription, test performance, and result delivery. Medical Officers assess patients, prescribe medication and tests. Patients fill out forms and undergo testing. Lab Technicians perform tests and provide results. The system supports the interaction between these stakeholders to manage the lab testing workflow.",Healthcare Administration,Healthcare Administration | Laboratory Information Management | Medical Testing | Patient Management | Prescription Management,Lab Technician | Medical Officer | Patient,,Lab Technician | Medical Officer | Patient,3,0,3,Assess Patient | Fill Form | Give Result | Perform Test | Prescribe Medication | Prescribe Test,6,association,7,No,No,No,"Lab Technician: Lab Worker, Technician | Medical Officer: Doctor, Physician | Patient: Individual, Subject, Recipient, Individual, Individual, Client","Assess Patient: Evaluate Patient, Examine Patient | Fill Form: Complete Form, Enter Data | Give Result: Provide Result, Report Result | Perform Test: Execute Test, Run Test | Prescribe Medication: Order Medication | Prescribe Test: Order Test",2026-02-26 18:41:20
40,Course Registration,Course Registration,Registration System | Course System,"The Course Registration system facilitates the process of students enrolling in college, selecting courses, and registering for those courses. Professors are involved in course selection, and the Registrar manages the closing of registration. Students can also drop courses, potentially extending the registration process based on change requirements.",Academic Registration,Academic Registration | Course Management | Educational Services | Higher Education Administration | Student Information Systems,Professor | Registrar | Student,,Professor | Registrar | Student,3,0,3,Close Registration | Drop Course | Enrol In College | Register For Course | Select Course,5,association | extend | include,6,Yes,Yes,No,"Professor: Instructor, Faculty Member | Registrar: Registrar Office, Registration Staff | Student: Learner, Learner, Learner, Enrollee, Candidate, Learner, Course Participant, Pupil","Close Registration: End Registration, Terminate Registration | Drop Course: Cancel Course, Remove Course | Enrol In College: Enter College, Join College | Register For Course: Add Course, Enroll Course | Select Course: Pick Course, Choose Course",2026-02-26 18:41:34
41,Flight Reservation System,Flight Reservation System,Reservation System | Flight System,"The Flight Reservation System facilitates booking, managing, and modifying flight reservations. Customers can search for and book tickets. Agents assist passengers and manage reservations. Administrators handle user accounts, flight schedules, and technical issues. The system includes functionality for checking flight availability, editing bookings, and cancelling reservations, with the latter optionally triggering reservation management.",Airline Reservation,Airline Reservation | Customer Service | Flight Operations | Travel Management | User Account Management,Administrator | Agent | Customer,,Administrator | Agent | Customer,3,0,3,Assist Passenger | Book Ticket | Cancel Booking | Check Availability | Edit Booking | Manage Flight Schedule | Manage Reservation | Manage User Account | Resolve Technical Issue | Search Flight,10,association | extend | include,10,Yes,Yes,No,"Administrator: System Manager, System Admin, System Admin, School Admin, Admin, Admin, Admin, System Admin, Admin, System Manager | Agent: Travel Agent | Customer: Patron, Passenger, Client, User, Passenger, Traveler, Car Owner, Passenger, Vehicle Owner, Bank Client, Account Holder, User, Client, Shopper","Assist Passenger: Aid Passenger | Book Ticket: Issue Ticket | Cancel Booking: Void Booking | Check Availability: Verify Availability | Edit Booking: Modify Booking | Manage Flight Schedule: Handle Schedule | Manage Reservation: Handle Reservation | Manage User Account: Handle Account | Resolve Technical Issue: Fix Problem, Fix Issue, Correct Error | Search Flight: Find Flight",2026-02-26 18:41:53
42,Loan Management,Loan Management,Mortgage System | Loan System,"The Loan Management system facilitates the loan application and approval process. Loan Officers utilize the system to check applicant eligibility, credit history, and assess home values, ultimately sanctioning loans. Home Buyers interact with the system to process mortgage and loan applications. The system serves as a central platform for managing the loan lifecycle, from initial application to final approval.",Credit Risk Assessment,Credit Risk Assessment | Financial Services | Home Finance | Loan Origination | Mortgage Lending,Home Buyer | Loan Officer,,Home Buyer | Loan Officer,2,0,2,Assess Home Value | Check Credit History | Check Eligibility | Process Loan Application | Process Mortgage Application | Sanction Loan,6,association,6,No,No,No,"Home Buyer: Buyer, Borrower, Applicant | Loan Officer: Loan Specialist, Lender","Assess Home Value: Estimate Value, Value Home | Check Credit History: Verify Credit, Review Credit | Check Eligibility: Verify Eligibility | Process Loan Application: Handle Loan, Review Loan | Process Mortgage Application: Review Mortgage, Handle Mortgage | Sanction Loan: Fund Loan, Approve Loan",2026-02-26 18:42:14
43,Boarding System,Boarding System,System | Boarding,"The Boarding System manages the process of passenger boarding, involving interactions between Passengers and Ticket Clerks. Passengers handover luggage and receive tickets, while Ticket Clerks handle luggage processing, which includes assigning seats and weighing luggage. The system facilitates the efficient and organized boarding of passengers.",Airline Boarding,Airline Boarding | Luggage Handling | Passenger Services | Ticket Management | Travel Logistics,Passenger | Ticket Clerk,,Passenger | Ticket Clerk,2,0,2,Assign Seat | Give Ticket | Handle Luggage | Handover Luggage | Weigh Luggage,5,association | include,5,Yes,No,No,"Passenger: Patron, Traveler, Flyer, Traveler | Ticket Clerk: Clerk, Agent",Assign Seat: Allocate Seat | Give Ticket: Issue Ticket | Handle Luggage: Manage Luggage | Handover Luggage: Transfer Luggage | Weigh Luggage: Scale Luggage,2026-02-26 18:42:34
44,Energy Distribution Management System,Energy Distribution Management System,Power Management | Distribution System | Energy System,"The Energy Distribution Management System facilitates the operation and monitoring of power distribution. The Grid Operator interacts with the system to record energy usage and authenticate themselves. The Control Center System is involved in selecting power sources, validating billing, and monitoring power flow. Use cases include generating reports, allocating power, checking transformer loads, activating backup lines, and selecting distribution areas. Authentication is required before selecting a power source, and billing validation includes report generation. Monitoring power flow can be extended by activating a backup line when the main power is unavailable. Transformer load checks are included in power allocation, and power flow monitoring includes transformer load checks.",Billing and Reporting,Billing and Reporting | Energy Distribution | Power Grid Management | Power Supply Allocation | System Authentication,Grid Operator,Control Center System,Control Center System | Grid Operator,1,1,2,Activate Backup Line | Allocate Power Supply | Authenticate Operator | Check Transformer Load | Generate Energy Report | Monitor Power Flow | Record Energy Usage | Select Distribution Area | Select Power Source | Validate Energy Billing,10,association | extend | include,11,Yes,Yes,No,"Control Center System: Center System, Control System | Grid Operator: Grid Control, Operator","Activate Backup Line: Start Line, Enable Line | Allocate Power Supply: Provide Power, Assign Supply | Authenticate Operator: Verify Operator, Confirm Operator | Check Transformer Load: Inspect Load, Review Load | Generate Energy Report: Create Report, Produce Report, Create Report, Produce Report | Monitor Power Flow: Track Flow, Observe Flow | Record Energy Usage: Capture Usage, Log Usage | Select Distribution Area: Pick Area, Choose Area | Select Power Source: Choose Source, Pick Source | Validate Energy Billing: Verify Billing, Confirm Billing",2026-02-26 18:43:05
45,Fire Alarm System,Fire Alarm System,Fire System | Alarm System,"The Fire Alarm System is designed to detect fires, alert users and authorities, and facilitate system maintenance and shutdown. It interacts with Technicians for initialization and shutdown, Maintenance Operators for fault handling and maintenance, Installation Personnel for system setup, Civilians who are alerted in case of false alarms or actual fires, Fire Department who are informed of fire events, and Sensors which detect fire events. The system also handles system faults and displays a standby state when no fire is detected.",Alarm Systems,Alarm Systems | Emergency Response | Fire Safety | Sensor Integration | System Maintenance,Civillian | Fire Department | Installation Personnel | Maintenance Operator | Technician,Sensor,Civillian | Fire Department | Installation Personnel | Maintenance Operator | Sensor | Technician,5,1,6,Alert User | Detect Fire | Display Standby | Handle False Alarm | Handle System Fault | Inform Authority | Initialize System | Perform Maintenance | Shutdown System | Warn Environment,10,association | extend | generalization | include,18,Yes,Yes,Yes,"Civillian: Resident, Occupant | Fire Department: Emergency Service, Fire Crew | Installation Personnel: Installer, Setup Crew | Maintenance Operator: Operator, Maintainer, System Maintainer, Operator | Sensor: Detector, Detector | Technician: Service Personnel, System Expert, Mechanic, Field Engineer, Service Personnel, Service Tech","Alert User: Notify User | Detect Fire: Sense Fire | Display Standby: Show Status | Handle False Alarm: Clear Alarm, Resolve Alarm | Handle System Fault: Correct Error, Resolve Fault | Inform Authority: Notify Authority | Initialize System: Start System, Boot System, Boot System, Start System | Perform Maintenance: Conduct Maintenance, Execute Maintenance, Conduct Service, Execute Maintenance, Conduct Maintenance | Shutdown System: Stop System | Warn Environment: Notify Area",2026-02-26 18:43:29
46,Exam Mobile Application ,Exam Mobile Application ,Mobile Exam | Exam System | Exam App,"The Exam Mobile Application facilitates exam result management, candidate registration, and transcript verification. Students access their accounts and results, while Data Entry Personnel manage registration and session termination. Qualification Managers authorize results and generate transcripts, and Data Managers verify results. The system supports result updates, reporting, and transcript issuance.",Candidate Registration,Candidate Registration | Exam Result Management | Reporting and Analytics | Transcript Verification | User Account Management,Data Entry Personnel | Data Manager | Qualification Manager | Student,,Data Entry Personnel | Data Manager | Qualification Manager | Student,4,0,4,Access Account | Authorize Result | Edit Result | Enter Result | Generate Report | Generate Transcript | Publish Result | Recieve Transcript | Register Candidate | Terminate Session | Update Information | Verify Result | Verify Transcript | View Registration Data | View Result,15,association | extend | include,17,Yes,Yes,No,"Data Entry Personnel: Data Entry, Entry Staff | Data Manager: Data Admin, Info Manager | Qualification Manager: Credential Manager, Qualification Admin | Student: Learner, Learner, Learner, Enrollee, Candidate, Learner, Course Participant, Pupil","Access Account: Login Account, Open Account, Open Profile, View Account, Open Account, Login Account, Open Account, View Account | Authorize Result: Approve Result, Confirm Result | Edit Result: Modify Result, Change Result | Enter Result: Input Result, Record Result | Generate Report: Produce Report, Produce Report, Create Report, Create Report | Generate Transcript: Produce Transcript, Create Transcript | Publish Result: Post Result, Release Result | Recieve Transcript: Get Transcript, Obtain Transcript | Register Candidate: Enroll Candidate, Add Candidate | Terminate Session: End Session, Close Session | Update Information: Change Info, Modify Info | Verify Result: Check Result, Confirm Result | Verify Transcript: Check Transcript, Confirm Transcript | View Registration Data: Inspect Registration, See Registration | View Result: Inspect Result, See Result",2026-02-26 18:43:53
47,Airport Management System,Airport Management System,Management System | Airport System,"The Airport Management System facilitates the coordination of air traffic control, ground operations, and airport safety. The ATC manages control zones and clearances, while also being involved in conflict alerting and prevention, and mission planning. The Ground Operations Team and Airport Safety Team primarily participate in conflict alerting and mission planning respectively. The system extends conflict alerting with conflict prevention when a conflict occurs.",Air Traffic Control,Air Traffic Control | Airport Operations | Conflict Management | Mission Planning | Safety and Security,,Airport Safety Team | ATC | Ground Operations Team,Airport Safety Team | ATC | Ground Operations Team,0,3,3,Alert During Conflict | Manage Clearance | Manage Control Zone | Plan Mission | Prevent Conflict,5,association | extend,9,No,Yes,No,"Airport Safety Team: Safety Team, Airport Safety | ATC: Air Traffic | Ground Operations Team: Ground Team, Operations Staff","Alert During Conflict: Conflict Alert, Alert Conflict | Manage Clearance: Clearance Management | Manage Control Zone: Control Zone Management, Zone Management | Plan Mission: Mission Planning, Create Plan | Prevent Conflict: Conflict Prevention",2026-02-26 18:44:16
48,Monitoring System,Monitoring System,System Monitor | Monitor System,"The Monitoring System enables Operators, Advanced Operators, Intruders, and Supervisors to interact with environmental monitoring and system control functions. Operators perform autonomous monitoring, while Advanced Operators can set up tracking and perform manual monitoring. Intruders can monitor the environment, and Supervisors handle camera faults. The system includes initialization and termination procedures as part of environmental monitoring.",Environmental Monitoring,Environmental Monitoring | Fault Management | Operator Interface | Security Monitoring | System Administration,Advanced Operator | Intruder | Operator | Supervisor,,Advanced Operator | Intruder | Operator | Supervisor,4,0,4,Handle Camera Fault | Initialize System | Monitor Environment | Perform Autonomous Monitoring | Perform Manual Monitoring | Setup Track | Terminate System,7,association | extend | generalization | include,10,Yes,Yes,Yes,"Advanced Operator: Senior Staff, Expert User | Intruder: Attacker, Attacker, Threat Actor, Threat | Operator: Admin, User, Controller, User, Staff, Controller, User | Supervisor: Overseer, Manager, Bike Supervisor, Manager, Overseer, Supervisor Role","Handle Camera Fault: Resolve Fault, Fix Camera | Initialize System: Start System, Boot System, Boot System, Start System | Monitor Environment: Observe Environment, Assess Environment | Perform Autonomous Monitoring: Execute Monitoring, Run Monitoring | Perform Manual Monitoring: Execute Monitoring, Run Monitoring | Setup Track: Configure Track, Define Track | Terminate System: Stop System, End System",2026-02-26 18:44:37
